"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","67","67","1","23.689493","0","67"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","7","7","1","0.696002","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","7","7","1","3.434872","0","7"
"/Game/ModularSciFiEnv_I/Materials/Base/M_Base_MAT.M_Base_MAT","49","32","32","4","13.594275","3","32"
"/Game/ModularSciFiEnv_I/Materials/Base/M_Glass_Dirty_MAT.M_Glass_Dirty_MAT","49","17","17","1","14.080196","0","17"
"/Game/ModularSciFiEnv_I/Materials/Base/M_LampEmiss_MAT.M_LampEmiss_MAT","49","16","16","2","6.466661","0","16"
"/Game/ModularSciFiEnv_I/Materials/Base/M_Monocolor_MAT.M_Monocolor_MAT","49","8","8","1","2.493979","0","8"
"/Game/SciFi_Props/Materials/M_Master.M_Master","49","14","14","1","0.000000","0","14"
"/Game/MainContents/Animation/Enemy/AileniMesh/Ch50_body.Ch50_body","49","11","11","1","0.000000","0","11"
"/Game/MainContents/Animation/Enemy/AileniMesh/Ch50_body1.Ch50_body1","49","11","11","1","0.000000","0","11"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","49","7","7","1","1.799237","0","7"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","49","7","7","1","1.960927","0","7"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","49","24","24","3","8.829634","0","24"
